EpochNum,StartTime,EndTime,BinaryLabels
166,2018-11-13 13:40:08,2018-11-13 13:40:13,1.0
167,2018-11-13 13:40:13,2018-11-13 13:40:18,1.0
168,2018-11-13 13:40:18,2018-11-13 13:40:23,1.0
169,2018-11-13 13:40:23,2018-11-13 13:40:28,1.0
170,2018-11-13 13:40:28,2018-11-13 13:40:33,1.0
171,2018-11-13 13:40:33,2018-11-13 13:40:38,1.0
172,2018-11-13 13:40:38,2018-11-13 13:40:43,1.0
173,2018-11-13 13:40:43,2018-11-13 13:40:48,1.0
174,2018-11-13 13:40:48,2018-11-13 13:40:53,-1.0
175,2018-11-13 13:40:53,2018-11-13 13:40:58,-1.0
176,2018-11-13 13:40:58,2018-11-13 13:41:03,1.0
177,2018-11-13 13:41:03,2018-11-13 13:41:08,1.0
178,2018-11-13 13:41:08,2018-11-13 13:41:13,1.0
179,2018-11-13 13:41:13,2018-11-13 13:41:18,1.0
180,2018-11-13 13:41:18,2018-11-13 13:41:23,1.0
181,2018-11-13 13:41:23,2018-11-13 13:41:28,1.0
182,2018-11-13 13:41:28,2018-11-13 13:41:33,1.0
183,2018-11-13 13:41:33,2018-11-13 13:41:38,1.0
184,2018-11-13 13:41:38,2018-11-13 13:41:43,1.0
185,2018-11-13 13:41:43,2018-11-13 13:41:48,1.0
186,2018-11-13 13:41:48,2018-11-13 13:41:53,1.0
187,2018-11-13 13:41:53,2018-11-13 13:41:58,1.0
188,2018-11-13 13:41:58,2018-11-13 13:42:03,1.0
189,2018-11-13 13:42:03,2018-11-13 13:42:08,1.0
190,2018-11-13 13:42:08,2018-11-13 13:42:13,1.0
191,2018-11-13 13:42:13,2018-11-13 13:42:18,1.0
192,2018-11-13 13:42:18,2018-11-13 13:42:23,1.0
193,2018-11-13 13:42:23,2018-11-13 13:42:28,1.0
194,2018-11-13 13:42:28,2018-11-13 13:42:33,1.0
195,2018-11-13 13:42:33,2018-11-13 13:42:38,1.0
196,2018-11-13 13:42:38,2018-11-13 13:42:43,1.0
197,2018-11-13 13:42:43,2018-11-13 13:42:48,1.0
198,2018-11-13 13:42:48,2018-11-13 13:42:53,1.0
199,2018-11-13 13:42:53,2018-11-13 13:42:58,1.0
200,2018-11-13 13:42:58,2018-11-13 13:43:03,1.0
201,2018-11-13 13:43:03,2018-11-13 13:43:08,1.0
202,2018-11-13 13:43:08,2018-11-13 13:43:13,1.0
203,2018-11-13 13:43:13,2018-11-13 13:43:18,-1.0
204,2018-11-13 13:43:18,2018-11-13 13:43:23,1.0
205,2018-11-13 13:43:23,2018-11-13 13:43:28,1.0
206,2018-11-13 13:43:28,2018-11-13 13:43:33,1.0
207,2018-11-13 13:43:33,2018-11-13 13:43:38,1.0
208,2018-11-13 13:43:38,2018-11-13 13:43:43,1.0
209,2018-11-13 13:43:43,2018-11-13 13:43:48,1.0
210,2018-11-13 13:43:48,2018-11-13 13:43:53,1.0
